layer_name,latency_ns
Conv_0,187224
MaxPool_2,112076
Conv_3,18880
Conv_5,13172
Conv_7,24156
Conv_10,24736
Conv_12,13172
Conv_14,24156
Conv_17,24732
Conv_19,25132
Conv_21,91736
MaxPool_24,61308
Conv_25,12992
Conv_27,7204
Conv_29,24580
Conv_32,24804
Conv_34,14628
Conv_36,53540
Conv_39,36576
Conv_41,14624
Conv_43,53536
Conv_46,36580
Conv_48,24996
Conv_50,94016
MaxPool_53,26216
Conv_54,12472
Conv_56,6888
Conv_58,24424
Conv_61,181672
GlobalAveragePool_63,169640
