layer_name,latency_ns
Conv_0,187216
MaxPool_2,134664
Conv_3,18940
Conv_5,13144
Conv_7,18236
Conv_10,24796
Conv_12,13140
Conv_14,18236
Conv_17,24796
Conv_19,25040
Conv_21,68376
MaxPool_24,68920
Conv_25,13176
Conv_27,7372
Conv_29,18736
Conv_32,13176
Conv_34,10440
Conv_36,40456
Conv_39,19128
Conv_41,10440
Conv_43,40452
Conv_46,19128
Conv_48,13512
Conv_50,70812
MaxPool_53,28648
Conv_54,6832
Conv_56,4268
Conv_58,18620
Conv_61,91488
GlobalAveragePool_63,169512
