layer_name,latency_ns
Conv_0,69540
Conv_2,569412
Conv_4,374524
Conv_6,284228
Conv_8,143112
Conv_10,143112
Conv_12,143108
Conv_14,143112
Conv_17,352996
MaxPool_19,37432
Conv_20,113716
Conv_22,71596
Conv_24,71596
Conv_26,71596
Conv_28,71596
Conv_31,209200
MaxPool_33,17692
Conv_34,70248
Conv_36,27044
Conv_38,27044
Conv_40,27044
Conv_42,27044
Conv_45,117128
MaxPool_47,5480
Conv_48,35608
Conv_50,11132
Conv_52,11132
Conv_54,11128
Conv_56,11132
Conv_59,61456
AveragePool_61,25600
Gemm_63,33328
