layer_name,latency_ns
Conv_0,55228
Conv_2,381116
Conv_4,317132
Conv_6,191956
Conv_8,96920
Conv_10,96916
Conv_12,96916
Conv_14,96920
Conv_17,352948
MaxPool_19,33448
Conv_20,79244
Conv_22,50084
Conv_24,50084
Conv_26,50084
Conv_28,50084
Conv_31,209280
MaxPool_33,16792
Conv_34,53144
Conv_36,20744
Conv_38,20744
Conv_40,20744
Conv_42,20744
Conv_45,117288
MaxPool_47,5608
Conv_48,35816
Conv_50,11336
Conv_52,11340
Conv_54,11336
Conv_56,11336
Conv_59,61664
AveragePool_61,25728
Gemm_63,33328
