layer_name,latency_ns
Conv_0,99216
MaxPool_2,93844
Conv_3,13924
Conv_5,72268
Conv_7,52148
Conv_8,52148
Add_9,50276
Conv_11,51560
Conv_13,72268
Conv_15,52148
Add_16,50276
Conv_18,51556
Conv_20,72268
Conv_22,52148
Add_23,50276
Conv_25,101932
Conv_27,77460
Conv_29,52008
Conv_30,400960
Add_31,25700
Conv_33,52272
Conv_35,76352
Conv_37,52008
Add_38,25700
Conv_40,52272
Conv_42,76356
Conv_44,52008
Add_45,25700
Conv_47,52272
Conv_49,76356
Conv_51,52008
Add_52,25700
Conv_54,102552
Conv_56,93544
Conv_58,55112
Conv_59,411336
Add_60,14436
Conv_62,56668
Conv_64,93536
Conv_66,55112
Add_67,14436
Conv_69,56668
Conv_71,93532
Conv_73,55112
Add_74,14436
Conv_76,56668
Conv_78,93532
Conv_80,55112
Add_81,14436
Conv_83,56668
Conv_85,93536
Conv_87,55112
Add_88,14436
Conv_90,56668
Conv_92,93532
Conv_94,55112
Add_95,14436
Conv_97,110776
Conv_99,93456
Conv_101,66852
Conv_102,394528
Add_103,8292
Conv_105,66756
Conv_107,93460
Conv_109,66848
Add_110,8292
Conv_112,66756
Conv_114,93460
Conv_116,66848
Add_117,8292
GlobalAveragePool_119,100864
Gemm_121,131632
