layer_name,latency_ns
Conv_0,197008
MaxPool_2,93844
Conv_3,26456
Conv_5,143112
Conv_7,102896
Conv_8,102900
Add_9,50276
Conv_11,101724
Conv_13,143112
Conv_15,102896
Add_16,50276
Conv_18,101724
Conv_20,143112
Conv_22,102896
Add_23,50276
Conv_25,202468
Conv_27,152660
Conv_29,102392
Conv_30,800528
Add_31,25700
Conv_33,102344
Conv_35,151288
Conv_37,102392
Add_38,25700
Conv_40,102344
Conv_42,151288
Conv_44,102392
Add_45,25700
Conv_47,102344
Conv_49,151284
Conv_51,102392
Add_52,25700
Conv_54,202904
Conv_56,185656
Conv_58,108408
Conv_59,820984
Add_60,14436
Conv_62,110572
Conv_64,185644
Conv_66,108408
Add_67,14436
Conv_69,110568
Conv_71,185644
Conv_73,108408
Add_74,14436
Conv_76,110568
Conv_78,185644
Conv_80,108408
Add_81,14436
Conv_83,110568
Conv_85,185644
Conv_87,108408
Add_88,14436
Conv_90,110568
Conv_92,185644
Conv_94,108408
Add_95,14436
Conv_97,218780
Conv_99,185492
Conv_101,132308
Conv_102,787664
Add_103,8292
Conv_105,132116
Conv_107,185492
Conv_109,132304
Add_110,8292
Conv_112,132116
Conv_114,185492
Conv_116,132308
Add_117,8292
GlobalAveragePool_119,100864
Gemm_121,131632
