layer_name,latency_ns
Conv_0,392780
MaxPool_2,136916
Conv_3,34100
Conv_5,284976
Conv_7,134056
Conv_8,134060
Add_9,50276
Conv_11,128176
Conv_13,284980
Conv_15,134056
Add_16,50276
Conv_18,128180
Conv_20,284976
Conv_22,134056
Add_23,50276
Conv_25,255580
Conv_27,289776
Conv_29,132780
Conv_30,801068
Add_31,25700
Conv_33,129776
Conv_35,289776
Conv_37,132780
Add_38,25700
Conv_40,129780
Conv_42,289776
Conv_44,132780
Add_45,25700
Conv_47,129780
Conv_49,289776
Conv_51,132780
Add_52,25700
Conv_54,258780
Conv_56,323896
Conv_58,146380
Conv_59,870292
Add_60,14436
Conv_62,144696
Conv_64,323896
Conv_66,146380
Add_67,14436
Conv_69,144696
Conv_71,323900
Conv_73,146376
Add_74,14436
Conv_76,144700
Conv_78,323896
Conv_80,146376
Add_81,14436
Conv_83,144700
Conv_85,323896
Conv_87,146380
Add_88,14436
Conv_90,144696
Conv_92,323900
Conv_94,146376
Add_95,14436
Conv_97,288620
Conv_99,369736
Conv_101,165896
Conv_102,853224
Add_103,8292
Conv_105,164936
Conv_107,369740
Conv_109,165896
Add_110,8292
Conv_112,164936
Conv_114,369736
Conv_116,165900
Add_117,8292
GlobalAveragePool_119,100736
Gemm_121,131632
