layer_name,latency_ns
Conv_0,132220
MaxPool_2,79572
Conv_3,26536
Conv_5,96916
Conv_7,102592
Conv_8,102596
Add_9,50276
Conv_11,101800
Conv_13,96916
Conv_15,102592
Add_16,50276
Conv_18,101804
Conv_20,96920
Conv_22,102596
Add_23,50276
Conv_25,202420
Conv_27,135580
Conv_29,102344
Conv_30,796384
Add_31,25700
Conv_33,102488
Conv_35,105256
Conv_37,102344
Add_38,25700
Conv_40,102488
Conv_42,105256
Conv_44,102344
Add_45,25700
Conv_47,102488
Conv_49,105252
Conv_51,102344
Add_52,25700
Conv_54,202984
Conv_56,150680
Conv_58,108488
Conv_59,821064
Add_60,14436
Conv_62,111788
Conv_64,139692
Conv_66,108488
Add_67,14436
Conv_69,111788
Conv_71,139696
Conv_73,108488
Add_74,14436
Conv_76,111788
Conv_78,139692
Conv_80,108488
Add_81,14436
Conv_83,111788
Conv_85,139696
Conv_87,108488
Add_88,14436
Conv_90,111788
Conv_92,139692
Conv_94,108488
Add_95,14436
Conv_97,221164
Conv_99,185700
Conv_101,132516
Conv_102,787876
Add_103,8292
Conv_105,132324
Conv_107,185696
Conv_109,132512
Add_110,8292
Conv_112,132324
Conv_114,185696
Conv_116,132516
Add_117,8292
GlobalAveragePool_119,100992
Gemm_121,131632
