layer_name,latency_ns
Conv_0,68964
Conv_2,47996
Conv_4,13924
Conv_6,72824
Conv_8,13924
Conv_10,72824
Conv_13,26472
Conv_15,72824
Conv_17,13924
Conv_19,72824
Conv_21,13924
Conv_23,72824
Conv_26,76844
Conv_28,115840
Conv_30,22764
Conv_32,87348
Conv_34,12104
Conv_36,87348
Conv_39,44148
Conv_41,127964
Conv_43,22764
Conv_45,87348
Conv_47,12104
Conv_49,87348
Conv_52,107972
Conv_54,134592
Conv_56,21520
Conv_58,87208
Conv_60,11412
Conv_62,87208
Conv_65,41736
Conv_67,142008
Conv_69,21520
Conv_71,87208
Conv_73,11412
Conv_75,87208
Conv_78,97720
Conv_80,260116
Conv_82,346976
Conv_84,462216
Conv_86,82836
AveragePool_89,16896
Gemm_91,66096
