layer_name,latency_ns
Conv_0,35268
Conv_2,94576
Conv_4,26460
Conv_6,72060
Conv_8,13912
Conv_10,72060
Conv_13,51548
Conv_15,143112
Conv_17,26456
Conv_19,72060
Conv_21,13916
Conv_23,72060
Conv_26,152288
Conv_28,190364
Conv_30,36772
Conv_32,127756
Conv_34,19024
Conv_36,127756
Conv_39,72268
Conv_41,212256
Conv_43,36772
Conv_45,127756
Conv_47,19024
Conv_49,127756
Conv_52,192644
Conv_54,260612
Conv_56,41152
Conv_58,138004
Conv_60,21164
Conv_62,138004
Conv_65,81128
Conv_67,275008
Conv_69,41152
Conv_71,138008
Conv_73,21164
Conv_75,138004
Conv_78,180760
Conv_80,325312
Conv_82,692532
Conv_84,923004
Conv_86,103724
AveragePool_89,16896
Gemm_91,66096
