layer_name,latency_ns
Conv_0,197012
MaxPool_2,93844
Conv_3,143108
Conv_5,143112
Add_6,12644
Conv_8,143112
Conv_10,143108
Add_11,12644
Conv_13,143112
Conv_15,143112
Add_16,12644
Conv_18,76864
Conv_20,151284
Conv_21,51112
Add_22,6500
Conv_24,151288
Conv_26,151284
Add_27,6500
Conv_29,151288
Conv_31,151284
Add_32,6500
Conv_34,151288
Conv_36,151284
Add_37,6500
Conv_39,93496
Conv_41,185648
Conv_42,52408
Add_43,3684
Conv_45,185648
Conv_47,185644
Add_48,3684
Conv_50,185644
Conv_52,185644
Add_53,3684
Conv_55,185644
Conv_57,185644
Add_58,3684
Conv_60,185644
Conv_62,185644
Add_63,3684
Conv_65,185644
Conv_67,185644
Add_68,3684
Conv_70,93328
Conv_72,185492
Conv_73,50196
Add_74,2148
Conv_76,185492
Conv_78,185492
Add_79,2148
Conv_81,185492
Conv_83,185492
Add_84,2148
GlobalAveragePool_86,25600
Gemm_88,33328
