layer_name,latency_ns
Conv_0,392780
MaxPool_2,136916
Conv_3,284980
Conv_5,284976
Add_6,12644
Conv_8,284980
Conv_10,284976
Add_11,12644
Conv_13,284976
Conv_15,284980
Add_16,12644
Conv_18,145776
Conv_20,289776
Conv_21,51076
Add_22,6500
Conv_24,289776
Conv_26,289780
Add_27,6500
Conv_29,289780
Conv_31,289776
Add_32,6500
Conv_34,289776
Conv_36,289776
Add_37,6500
Conv_39,162616
Conv_41,323896
Conv_42,55348
Add_43,3684
Conv_45,323900
Conv_47,323900
Add_48,3684
Conv_50,323896
Conv_52,323896
Add_53,3684
Conv_55,323900
Conv_57,323896
Add_58,3684
Conv_60,323896
Conv_62,323900
Add_63,3684
Conv_65,323896
Conv_67,323896
Add_68,3684
Conv_70,185420
Conv_72,369736
Conv_73,54124
Add_74,2148
Conv_76,369740
Conv_78,369736
Add_79,2148
Conv_81,369740
Conv_83,369740
Add_84,2148
GlobalAveragePool_86,25472
Gemm_88,33328
