layer_name,latency_ns
Conv_0,132220
MaxPool_2,79572
Conv_3,96916
Conv_5,96920
Add_6,12644
Conv_8,96916
Conv_10,96916
Add_11,12644
Conv_13,96920
Conv_15,96916
Add_16,12644
Conv_18,67720
Conv_20,105256
Conv_21,51000
Add_22,6500
Conv_24,105252
Conv_26,105252
Add_27,6500
Conv_29,105256
Conv_31,105256
Add_32,6500
Conv_34,105256
Conv_36,105256
Add_37,6500
Conv_39,72100
Conv_41,139692
Conv_42,52584
Add_43,3684
Conv_45,139696
Conv_47,139692
Add_48,3684
Conv_50,139696
Conv_52,139692
Add_53,3684
Conv_55,139696
Conv_57,139692
Add_58,3684
Conv_60,139696
Conv_62,139692
Add_63,3684
Conv_65,139696
Conv_67,139692
Add_68,3684
Conv_70,93540
Conv_72,185700
Conv_73,50404
Add_74,2148
Conv_76,185700
Conv_78,185696
Add_79,2148
Conv_81,185700
Conv_83,185696
Add_84,2148
GlobalAveragePool_86,25728
Gemm_88,33328
